Sekolah;2019average;2019percentile;2019ppdbrank;2018average;2018percentile;2018ppdbrank;2017average;2017percentile;2017ppdbrank;2016average;2016percentile;2016ppdbrank;;
SMA NEGERI 64;79,03;40%;70;74,69;43%;61;73,44;39%;66;75,49;38%;69;;
SMA NEGERI 65;91,80;82%;17;84,50;80%;17;85,84;80%;19;87,09;81%;17;;
SMA NEGERI 66;88,29;71%;29;81,14;68%;27;81,74;67%;32;82,37;65%;34;;
SMA NEGERI 67;86,72;66%;36;80,27;64%;32;82,19;68%;29;83,55;69%;28;;
SMA NEGERI 68;94,95;92%;6;87,54;88%;8;90,05;91%;7;90,67;90%;7;;
SMA NEGERI 69;51,36;1%;115;;;;;;;;;;;
SMA NEGERI 70;92,02;83%;15;84,90;81%;16;86,93;83%;15;87,05;80%;18;;
SMA NEGERI 71;91,82;83%;16;84,48;79%;18;86,58;82%;17;87,52;82%;16;;
SMA NEGERI 72;75,74;30%;83;69,66;26%;92;66,29;19%;97;71,71;25%;92;;
SMA NEGERI 73;71,26;17%;100;68,57;24%;96;65,02;16%;102;68,91;19%;98;;
SMA NEGERI 74;76,43;31%;80;70,71;28%;83;68,80;24%;91;72,86;28%;85;;
SMA NEGERI 75;76,59;32%;78;71,14;31%;81;70,19;30%;84;72,01;29%;90;;
SMA NEGERI 76;69,44;12%;107;67,40;17%;101;66,69;19%;96;69,32;17%;97;;
SMA NEGERI 77;90,83;79%;22;83,08;74%;23;85,44;78%;22;86,71;80%;19;;
SMA NEGERI 78;94,96;92%;5;88,88;91%;5;89,90;90%;8;90,44;89%;8;;
SMA NEGERI 79;75,08;26%;88;70,38;27%;87;70,30;29%;83;72,58;27%;89;;
SMA NEGERI 80;82,59;52%;51;76,49;51%;51;75,63;47%;58;75,85;40%;68;;
SMA NEGERI 81;96,57;97%;3;90,43;95%;3;91,92;95%;3;92,84;95%;3;;
SMA NEGERI 82;79,74;42%;64;73,96;40%;66;73,91;41%;64;76,03;40%;67;;
SMA NEGERI 83;66,08;6%;112;62,95;6%;113;61,67;8%;110;65,34;8%;111;;
SMA NEGERI 84;84,79;59%;43;77,50;54%;46;76,29;49%;51;80,09;56%;44;;
SMA NEGERI 85;81,00;47%;59;76,30;50%;52;76,63;50%;49;78,47;50%;53;;
SMA NEGERI 86;79,95;43%;61;73,57;39%;69;72,47;36%;71;76,55;42%;62;;
SMA NEGERI 87;81,40;48%;57;75,01;45%;59;74,19;42%;63;78,33;49%;56;;
SMA NEGERI 88;79,15;40%;69;74,06;41%;65;72,35;35%;72;76,25;41%;64;;
SMA NEGERI 89;83,06;53%;49;74,76;44%;60;75,87;47%;55;78,57;50%;52;;
